hall,axis,focus_value,offset_value,n_days,focus_mean_excess,offset_mean_excess,offset_gap,corr_excess,verdict
楽園,kakuban_bin,1991-2000,2191-2200,161,2120.272642802081,31.631594788672892,2088.641048013408,0.030454142209516245,no_offset
楽園,kakuban_bin,1991-2000,3121-3130,160,2120.272642802081,33.28837018674666,2086.9842726153342,-0.03135653432413603,no_offset
楽園,kakuban_bin,1991-2000,2061-2070,159,2120.272642802081,35.43928442305817,2084.8333583790227,-0.031241984731990455,no_offset
楽園,kakuban_bin,1991-2000,2161-2170,161,2120.272642802081,38.20063501345846,2082.0720077886226,-0.09405532899255407,no_offset
楽園,kakuban_bin,1991-2000,3171-3180,161,2120.272642802081,43.84248407192244,2076.4301587301584,0.005404559578236973,no_offset
楽園,kakuban_bin,1991-2000,1001-1010,161,2120.272642802081,49.32642619949813,2070.946216602583,0.08653539496642018,no_offset
楽園,kakuban_bin,1991-2000,2181-2190,160,2120.272642802081,52.051606667234445,2068.2210361348466,0.026611475690367745,no_offset
楽園,kakuban_bin,1991-2000,3211-3220,155,2120.272642802081,53.2420255378576,2067.0306172642236,-0.03250590587074934,no_offset
楽園,kakuban_bin,1991-2000,2231-2240,161,2120.272642802081,66.48851335320015,2053.784129448881,0.06225251563461994,no_offset
楽園,kakuban_bin,1991-2000,2101-2110,161,2120.272642802081,83.30477333545393,2036.967869466627,-0.04890484489093762,no_offset
楽園,kakuban_bin,1991-2000,2131-2140,159,2120.272642802081,84.4258577072062,2035.8467850948748,-0.030832156456786594,no_offset
楽園,kakuban_bin,1991-2000,3221-3230,161,2120.272642802081,87.35977432135553,2032.9128684807256,-0.16271009980775944,no_offset
楽園,kakuban_bin,1991-2000,2141-2150,161,2120.272642802081,87.8322824550438,2032.4403603470373,-0.11750532600760663,no_offset
楽園,kakuban_bin,1991-2000,2021-2030,161,2120.272642802081,98.3174668186443,2021.9551759834367,0.019625030794222426,no_offset
楽園,kakuban_bin,1991-2000,1011-1020,161,2120.272642802081,105.06804110633043,2015.2046016957506,-0.10177722947102888,no_offset
楽園,kakuban_bin,1991-2000,3231-3240,161,2120.272642802081,107.69788681272888,2012.574755989352,0.12207668656801471,no_offset
楽園,kakuban_bin,1991-2000,1051-1060,161,2120.272642802081,113.9444583398905,2006.3281844621906,0.03669742824109805,no_offset
楽園,kakuban_bin,1991-2000,2211-2220,161,2120.272642802081,135.69801497993782,1984.5746278221432,-0.007569553569471583,no_offset
楽園,kakuban_bin,1991-2000,3261-3270,160,2120.272642802081,145.16709277834556,1975.1055500237355,-0.004712960130369399,no_offset
楽園,kakuban_bin,1991-2000,3101-3110,143,2120.272642802081,147.1583679773484,1973.1142748247325,-0.061583169837032416,no_offset
楽園,kakuban_bin,1991-2000,1041-1050,161,2120.272642802081,202.50998875495506,1917.762654047126,-0.1179761629516227,no_offset
楽園,kakuban_bin,1991-2000,1031-1040,161,2120.272642802081,206.9570236558719,1913.3156191462092,-0.019854513936128346,no_offset
楽園,kakuban_bin,3101-3110,2091-2100,202,1344.2189533832452,-428.5374312265054,1772.7563846097505,0.09648262096141717,offset_candidate
楽園,kakuban_bin,3101-3110,1091-1100,216,1344.2189533832452,-354.3744739064146,1698.5934272896598,-0.1317728521497264,offset_candidate
楽園,kakuban_bin,3101-3110,1991-2000,200,1344.2189533832452,-186.98299760746156,1531.2019509907068,0.06075361232505819,offset_candidate
楽園,kakuban_bin,3101-3110,2121-2130,230,1344.2189533832452,-177.47570672717558,1521.6946601104207,-0.0021282964992908925,offset_candidate
楽園,kakuban_bin,3101-3110,1131-1140,230,1344.2189533832452,-175.43878471199272,1519.6577380952378,-0.036070668364820375,offset_candidate
楽園,kakuban_bin,3101-3110,2051-2060,230,1344.2189533832452,-152.7936639390458,1497.0126173222911,-0.1049008382769994,offset_candidate
楽園,kakuban_bin,3101-3110,991-1000,226,1344.2189533832452,-145.94457643028866,1490.1635298135338,-0.021323324202612612,offset_candidate
楽園,kakuban_bin,3101-3110,2041-2050,230,1344.2189533832452,-116.4462415787974,1460.6651949620425,0.031088286086640105,offset_candidate
楽園,kakuban_bin,3101-3110,2111-2120,230,1344.2189533832452,-114.42121914953584,1458.640172532781,0.03880724135264131,offset_candidate
楽園,kakuban_bin,3101-3110,1201-1210,230,1344.2189533832452,-104.8924113510541,1449.1113647342993,-0.018379877712664187,offset_candidate
楽園,kakuban_bin,3101-3110,3131-3140,227,1344.2189533832452,-99.75936708149797,1443.978320464743,-0.08182092183117017,offset_candidate
楽園,kakuban_bin,3101-3110,1191-1200,230,1344.2189533832452,-83.24483888728602,1427.4637922705313,0.010014724210062461,offset_candidate
楽園,kakuban_bin,3101-3110,1151-1160,230,1344.2189533832452,-78.8379151467753,1423.0568685300204,-0.08832919835925004,offset_candidate
楽園,kakuban_bin,3101-3110,1111-1120,230,1344.2189533832452,-63.03135717576082,1407.250310559006,0.02559527219933056,offset_candidate
楽園,kakuban_bin,3101-3110,3141-3150,228,1344.2189533832452,-59.15619141690207,1403.3751448001474,0.04658302394538999,offset_candidate
楽園,kakuban_bin,3101-3110,1101-1110,230,1344.2189533832452,-54.08019948079878,1398.299152864044,-0.16705209444926186,offset_candidate
楽園,kakuban_bin,3101-3110,1161-1170,230,1344.2189533832452,-52.09559975685122,1396.3145531400965,-0.033900269157592484,offset_candidate
楽園,kakuban_bin,3101-3110,3241-3250,230,1344.2189533832452,-50.18367774166835,1394.4026311249136,-0.0645789361278282,offset_candidate
