hall,granularity,group_value,axis,outcome,axis_level,axis_level_order,n,avg_diff,plus_rate,hit104_rate
蒲田7,kakuban,1,dd,plus,6,6,579,-29.533678756476682,36.96027633851468,28.151986183074268
蒲田7,kakuban,1,dd,plus,7,7,634,210.41009463722398,45.89905362776025,33.91167192429022
蒲田7,kakuban,1,dd,plus,8,8,630,74.76190476190476,41.269841269841265,33.33333333333333
蒲田7,kakuban,1,dd,plus,9,9,624,117.94871794871794,40.38461538461539,32.21153846153847
蒲田7,kakuban,1,dd,plus,10,10,630,24.285714285714285,38.25396825396825,30.0
蒲田7,kakuban,1,dd,plus,11,11,635,37.63779527559055,43.62204724409449,32.59842519685039
蒲田7,kakuban,1,dd,plus,12,12,524,239.31297709923663,43.70229007633588,34.35114503816794
蒲田7,kakuban,1,dd,plus,13,13,632,-54.90506329113924,39.24050632911392,30.69620253164557
蒲田7,kakuban,1,dd,plus,14,14,628,234.23566878980893,41.71974522292994,33.28025477707006
蒲田7,kakuban,1,dd,plus,15,15,628,-207.1656050955414,36.78343949044586,28.662420382165603
蒲田7,kakuban,1,dd,plus,16,16,628,115.12738853503184,40.605095541401276,30.89171974522293
蒲田7,kakuban,1,dd,plus,17,17,635,162.04724409448818,44.40944881889764,34.330708661417326
蒲田7,kakuban,1,dd,plus,18,18,627,-29.34609250398724,37.9585326953748,28.548644338118024
蒲田7,kakuban,1,dd,plus,19,19,632,-178.00632911392404,35.75949367088608,27.531645569620256
蒲田7,kakuban,1,dd,plus,20,20,629,-120.19077901430843,36.72496025437202,29.093799682034977
蒲田7,kakuban,1,dd,plus,21,21,634,182.33438485804416,41.48264984227129,32.33438485804416
蒲田7,kakuban,1,dd,plus,22,22,635,22.834645669291337,40.0,31.811023622047248
蒲田7,kakuban,1,dd,plus,23,23,627,-129.1866028708134,37.9585326953748,27.27272727272727
蒲田7,kakuban,1,dd,plus,24,24,632,-152.84810126582278,34.177215189873415,27.37341772151899
