hall,granularity,group_value,axis,outcome,axis_level,axis_level_order,n,avg_diff,plus_rate,hit104_rate
蒲田1,section,1631-1633,day_of_week,plus,月,0,142,-99.29577464788733,34.50704225352113,28.87323943661972
蒲田1,section,1631-1633,day_of_week,plus,火,1,129,-6.976744186046512,31.007751937984494,27.131782945736433
蒲田1,section,1631-1633,day_of_week,plus,水,2,124,-13.709677419354838,32.25806451612903,29.838709677419356
蒲田1,section,1631-1633,day_of_week,plus,木,3,117,126.4957264957265,41.02564102564102,38.46153846153847
蒲田1,section,1631-1633,day_of_week,plus,金,4,124,256.4516129032258,42.74193548387097,37.903225806451616
蒲田1,section,1631-1633,day_of_week,plus,土,5,199,207.53768844221105,43.21608040201005,36.68341708542713
蒲田1,section,1631-1633,day_of_week,plus,日,6,188,192.5531914893617,43.08510638297872,35.638297872340424
蒲田1,section,2167-2176,is_x_day,plus,0,0,3630,31.15702479338843,38.484848484848484,34.15977961432507
蒲田1,section,2167-2176,is_x_day,plus,1,1,1544,298.5103626943005,45.72538860103627,40.5440414507772
蒲田1,section,2191-2202,dd,plus,1,1,227,468.2819383259912,55.947136563876654,32.59911894273127
蒲田1,section,2191-2202,dd,plus,2,2,224,179.91071428571428,42.410714285714285,27.232142857142854
蒲田1,section,2191-2202,dd,plus,3,3,214,-18.69158878504673,41.1214953271028,18.69158878504673
蒲田1,section,2191-2202,dd,plus,4,4,214,60.2803738317757,35.51401869158878,24.766355140186917
蒲田1,section,2191-2202,dd,plus,5,5,215,285.1162790697674,46.04651162790698,30.23255813953488
蒲田1,section,2191-2202,dd,plus,6,6,210,440.0,47.61904761904761,31.9047619047619
