island,section,last_digit,period,xday_mean,period_mean,deviation,global_mean,deviation_vs_global,n_xday_records,n_period_records
ジャグラー島,641-657,8,旧店長2025,394.9861111111111,35.413698630136984,359.5724124809741,45.02718446601942,349.95892664509165,72,365
ジャグラー島,641-657,9,旧店長2025,159.69444444444446,-30.649315068493152,190.3437595129376,-67.03300970873786,226.72745415318232,72,365
ジャグラー島,658-674,0,旧店長2025,258.7902097902098,21.27939142461964,237.51081836559018,53.758553274682306,205.03165651552752,143,723
ジャグラー島,658-674,1,旧店長2025,133.81944444444446,6.1808219178082195,127.63862252663624,4.371844660194175,129.4475997842503,144,730
ジャグラー島,658-674,2,旧店長2025,263.30555555555554,97.90958904109588,165.39596651445964,128.4126213592233,134.89293419633225,144,730
ジャグラー島,658-674,3,旧店長2025,367.65972222222223,192.06438356164384,175.5953386605784,176.11165048543688,191.54807173678535,144,730
ジャグラー島,658-674,4,旧店長2025,496.8263888888889,351.85205479452054,144.97433409436837,310.54174757281555,186.28464131607336,144,730
ジャグラー島,658-674,5,旧店長2025,208.52777777777777,15.92054794520548,192.6072298325723,29.434951456310678,179.0928263214671,72,365
ジャグラー島,658-674,6,旧店長2025,146.125,21.553424657534247,124.57157534246575,54.2873786407767,91.8376213592233,72,365
ジャグラー島,658-674,7,旧店長2025,479.9718309859155,1.6121883656509695,478.35964262026454,37.95890410958904,442.01292687632645,71,361
ジャグラー島,658-674,8,旧店長2025,185.01388888888889,-10.30958904109589,195.3234779299848,-43.68252427184466,228.69641316073356,144,730
ジャグラー島,658-674,9,旧店長2025,16.131944444444443,-39.8054794520548,55.93742389649924,-12.153398058252428,28.28534250269687,144,730
ジャグラー島,675-691,0,旧店長2025,70.89583333333333,-12.74931506849315,83.64514840182648,-55.17281553398058,126.06864886731391,144,730
ジャグラー島,675-691,1,旧店長2025,185.50694444444446,11.827397260273973,173.67954718417047,-15.292233009708738,200.7991774541532,144,730
ジャグラー島,675-691,2,旧店長2025,296.65277777777777,86.17857142857143,210.47420634920633,39.219844357976655,257.4329334198011,72,364
ジャグラー島,675-691,3,旧店長2025,-39.166666666666664,-56.81917808219178,17.65251141552512,-29.518446601941747,-9.648220064724917,72,365
ジャグラー島,675-691,4,旧店長2025,65.51388888888889,-32.04657534246575,97.56046423135464,-21.299029126213593,86.81291801510248,72,365
ジャグラー島,675-691,5,旧店長2025,227.11805555555554,166.47671232876712,60.64134322678842,131.6757281553398,95.44232740021573,144,730
ジャグラー島,675-691,6,旧店長2025,392.4375,133.0,259.4375,69.90291262135922,322.53458737864077,144,730
ジャグラー島,675-691,7,旧店長2025,228.06293706293707,27.96685082872928,200.09608623420777,21.6689453125,206.39399175043707,143,724
ジャグラー島,675-691,8,旧店長2025,-41.736111111111114,1.9054794520547946,-43.641590563165906,-18.135922330097088,-23.600188781014026,144,730
ジャグラー島,675-691,9,旧店長2025,365.34722222222223,87.98904109589041,277.35818112633183,93.8621359223301,271.48508629989215,144,730
ジャグラー島,641-657,0,旧店長2026前半,-187.83333333333334,-100.05833333333334,-87.775,18.5747572815534,-206.40809061488673,24,120
