hall,dd,is_novel,machine_name,category,n,hit104_rate,baseline_hit104_rate,residual,rank_desc,rank_asc,p_value,q_value,is_machine_significant
レイトギャップ,19,True,マクロスフロンティア4,other,14,42.857142857142854,26.900584795321635,15.95655806182122,13,105,0.21900010756034133,0.7764549268048465,False
レイトギャップ,19,True,ルパン三世 大航海者の秘宝,other,25,44.0,29.831932773109244,14.168067226890756,14,104,0.12382417582702182,0.6585194805346161,False
レイトギャップ,19,True,ダンベル何キロ持てる？,other,23,34.78260869565217,21.524663677130047,13.257945018522125,15,103,0.12276030816850225,0.6585194805346161,False
レイトギャップ,19,True,Re:ゼロから始める異世界生活 season2,other,7,42.857142857142854,30.102040816326532,12.755102040816322,16,102,0.4299956917047516,0.913283854531484,False
レイトギャップ,19,True, サラリーマン金太郎,other,10,40.0,28.825622775800714,11.174377224199286,17,101,0.484238728077006,0.913283854531484,False
レイトギャップ,19,True,モンスターハンターワールド:アイスボーン,other,5,40.0,28.965517241379313,11.034482758620687,18,100,0.6281311358362587,0.9302701632005349,False
レイトギャップ,19,True,ありふれた職業で世界最強,other,13,38.46153846153847,27.79291553133515,10.668622930203316,19,99,0.36194616493442433,0.9010149212197371,False
レイトギャップ,19,True,とある科学の超電磁砲2,other,24,37.5,26.881720430107524,10.618279569892476,20,98,0.2469822582943307,0.8499095358951968,False
レイトギャップ,19,True,不二子BT,bt,5,40.0,29.936305732484076,10.063694267515924,21,97,0.6365039556475535,0.930887035134547,False
レイトギャップ,19,True,シャーマンキング,other,15,40.0,29.954954954954953,10.045045045045047,22,96,0.40050625937369966,0.9050813666067492,False
レイトギャップ,19,True,ラブ嬢3～Wご指名はいかがですか?～,other,15,40.0,30.117647058823525,9.882352941176475,23,95,0.40225838515855517,0.9050813666067492,False
レイトギャップ,19,True,からくりサーカス,other,200,42.0,32.28063879418626,9.71936120581374,24,94,0.002995010206990323,0.11182146531673665,False
レイトギャップ,19,True,ToLOVEるダークネス TRANCE ver.8.7,other,43,44.18604651162791,34.56345634563456,9.622590165993344,25,93,0.19770353495473153,0.7228535496782371,False
レイトギャップ,19,True,回胴黙示録カイジ 狂宴,other,14,42.857142857142854,33.76623376623377,9.090909090909086,26,92,0.5716844302356816,0.913283854531484,False
