date,machine_number,machine_name,games,diff,payout,day_baseline,edge,pool_size,universe_size
20251218,3184,ゴーゴージャグラー3,3755,600,1.0532623169107855,154.76190476190476,445.23809523809524,126,126
20251218,3187,ゴーゴージャグラー3,3155,-100,0.9894347596407819,154.76190476190476,-254.76190476190476,126,126
20251219,3173,ゴーゴージャグラー3,4152,-800,0.9357739242132306,262.5,-1062.5,136,136
20251219,3184,ゴーゴージャグラー3,1930,-700,0.8791018998272885,262.5,-962.5,136,136
20251219,3187,ゴーゴージャグラー3,1183,400,1.1127078050154973,262.5,137.5,136,136
20251220,3170,ゴーゴージャグラー3,8778,900,1.0341763499658236,-65.68047337278107,965.6804733727811,169,169
20251220,3172,ゴーゴージャグラー3,3771,1000,1.0883938831432864,-65.68047337278107,1065.680473372781,169,169
20251220,3173,ゴーゴージャグラー3,8225,5600,1.2269503546099292,-65.68047337278107,5665.680473372781,169,169
20251221,3172,ゴーゴージャグラー3,2071,-1300,0.7907613069370675,-10.778443113772456,-1289.2215568862275,167,167
20251221,3184,ゴーゴージャグラー3,5334,-600,0.9625046869141357,-10.778443113772456,-589.2215568862275,167,167
20251221,3185,ゴーゴージャグラー3,8278,200,1.0080534750744947,-10.778443113772456,210.77844311377245,167,167
20251222,3170,ゴーゴージャグラー3,7153,2900,1.1351414324991844,246.54088050314465,2653.4591194968552,159,159
20251222,3184,ゴーゴージャグラー3,8623,1200,1.0463875681317407,246.54088050314465,953.4591194968554,159,159
20251222,3185,ゴーゴージャグラー3,6283,400,1.0212212849488036,246.54088050314465,153.45911949685535,159,159
20251223,3170,ゴーゴージャグラー3,1748,-1100,0.7902364607170099,83.70370370370371,-1183.7037037037037,135,135
20251223,3172,ゴーゴージャグラー3,6097,600,1.0328030178776448,83.70370370370371,516.2962962962963,135,135
20251223,3173,ゴーゴージャグラー3,1138,-500,0.8535442296426479,83.70370370370371,-583.7037037037037,135,135
20251224,3170,ゴーゴージャグラー3,2214,-400,0.9397771755495333,142.06349206349208,-542.063492063492,126,126
20251224,3172,ゴーゴージャグラー3,1217,100,1.0273897562311696,142.06349206349208,-42.06349206349208,126,126
20251224,3185,ゴーゴージャグラー3,9329,1300,1.0464501375638688,142.06349206349208,1157.936507936508,126,126
20251225,3170,ゴーゴージャグラー3,4792,2300,1.1599888703394547,451.00671140939596,1848.9932885906042,149,149
20251225,3184,ゴーゴージャグラー3,1474,0,1.0,451.00671140939596,-451.00671140939596,149,149
20251225,3185,ゴーゴージャグラー3,7360,-1000,0.9547101449275363,451.00671140939596,-1451.0067114093958,149,149
20251226,3170,ゴーゴージャグラー3,2298,-500,0.9274731650710762,131.57894736842104,-631.578947368421,133,133
20251226,3173,ゴーゴージャグラー3,3843,1000,1.0867377916558245,131.57894736842104,868.421052631579,133,133
20251226,3185,ゴーゴージャグラー3,4192,-800,0.9363867684478372,131.57894736842104,-931.578947368421,133,133
20251227,3170,ゴーゴージャグラー3,3421,-1100,0.8928188638799571,29.651162790697676,-1129.6511627906978,172,172
20251227,3173,ゴーゴージャグラー3,3340,-600,0.9401197604790419,29.651162790697676,-629.6511627906976,172,172
20251227,3185,ゴーゴージャグラー3,7532,2300,1.1017879270667374,29.651162790697676,2270.3488372093025,172,172
