hall,machine_name,outcome,window0_range,window0_n,window0_p,window0_effect,window0_top_dd,window1_range,window1_n,window1_p,window1_effect,window1_top_dd,n_common_dd_levels,spearman_rho,spearman_p,recent_significant,consistent_with_prior_window,note
ARROW,ゾンビランドサガ,hit104,2026-06-22..2026-06-29,,,,,empty,,,,,,,,False,False,skip: window0_n=6 < 200; window1_n=0 < 200
ARROW,ゾンビランドサガ,plus,2026-06-22..2026-06-29,,,,,empty,,,,,,,,False,False,skip: window0_n=6 < 200; window1_n=0 < 200
ARROW,タクトオーパス デスティニー,hit104,2026-06-10..2026-06-29,,,,,empty,,,,,,,,False,False,skip: window0_n=14 < 200; window1_n=0 < 200
ARROW,タクトオーパス デスティニー,plus,2026-06-10..2026-06-29,,,,,empty,,,,,,,,False,False,skip: window0_n=14 < 200; window1_n=0 < 200
ARROW,ディスクアップ ULTRAREMIX,hit104,2026-04-01..2026-06-29,,,,,2026-01-01..2026-03-31,,,,,,,,False,False,skip: window0_n=83 < 200; window1_n=90 < 200
ARROW,ディスクアップ ULTRAREMIX,plus,2026-04-01..2026-06-29,,,,,2026-01-01..2026-03-31,,,,,,,,False,False,skip: window0_n=83 < 200; window1_n=90 < 200
ARROW,ドッチ,hit104,2026-05-20..2026-06-29,,,,,empty,,,,,,,,False,False,skip: window0_n=69 < 200; window1_n=0 < 200
ARROW,ドッチ,plus,2026-05-20..2026-06-29,,,,,empty,,,,,,,,False,False,skip: window0_n=69 < 200; window1_n=0 < 200
ARROW,ニューパルサーDX3,hit104,2026-04-01..2026-06-29,,,,,2026-01-01..2026-03-31,,,,,,,,False,False,skip: window0_n=83 < 200; window1_n=90 < 200
ARROW,ニューパルサーDX3,plus,2026-04-01..2026-06-29,,,,,2026-01-01..2026-03-31,,,,,,,,False,False,skip: window0_n=83 < 200; window1_n=90 < 200
ARROW,ネオアイムジャグラーEX,hit104,2026-04-01..2026-06-29,1245,0.06655228280152496,0.09960894964881824,5.0,2026-01-01..2026-03-31,1350,0.9557418617846014,0.0,25.0,31,0.01285787206800348,0.9452679184607058,False,False,
ARROW,ネオアイムジャグラーEX,plus,2026-04-01..2026-06-29,1245,0.006687190166151737,0.13448090341627603,20.0,2026-01-01..2026-03-31,1350,0.741914487318051,0.0,24.0,31,0.043177067629528124,0.8176037752431241,True,False,
ARROW,ハッピージャグラーVIII,hit104,2026-04-01..2026-06-29,415,0.42287268697069347,0.043300847622736366,31.0,2026-01-01..2026-03-31,450,0.014549750549554591,0.20711924684420358,5.0,31,0.4306484279759682,0.01558734814901755,False,False,
ARROW,ハッピージャグラーVIII,plus,2026-04-01..2026-06-29,415,0.5478277454940204,0.0,31.0,2026-01-01..2026-03-31,450,0.002027163660923162,0.24545103621336392,5.0,31,0.29345024997078223,0.10910677682133317,False,False,
ARROW,バイオハザード RE:3,hit104,2026-06-10..2026-06-29,,,,,empty,,,,,,,,False,False,skip: window0_n=122 < 200; window1_n=0 < 200
ARROW,バイオハザード RE:3,plus,2026-06-10..2026-06-29,,,,,empty,,,,,,,,False,False,skip: window0_n=122 < 200; window1_n=0 < 200
ARROW,ビッグドリーム THE GOLDEN PUSHER,hit104,2026-06-10..2026-06-29,,,,,empty,,,,,,,,False,False,skip: window1_n=0 < 200
ARROW,ビッグドリーム THE GOLDEN PUSHER,plus,2026-06-10..2026-06-29,,,,,empty,,,,,,,,False,False,skip: window1_n=0 < 200
ARROW,ファンキージャグラー2,hit104,2026-04-01..2026-06-29,747,0.09296815622769036,0.11922767601803513,5.0,2026-01-01..2026-03-31,810,0.29428307304968554,0.06699740626185717,4.0,31,-0.14007458513359206,0.4523097404391591,False,False,
ARROW,ファンキージャグラー2,plus,2026-04-01..2026-06-29,747,0.05882347330947813,0.13170706609231,5.0,2026-01-01..2026-03-31,810,0.484658519286957,0.0,4.0,31,0.25103519231610466,0.17313563450297142,False,False,
ARROW,プリズムナナ,hit104,2026-03-22..2026-06-19,,,,,2026-01-07..2026-03-21,,,,,,,,False,False,skip: window0_n=85 < 200; window1_n=73 < 200
ARROW,プリズムナナ,plus,2026-03-22..2026-06-19,,,,,2026-01-07..2026-03-21,,,,,,,,False,False,skip: window0_n=85 < 200; window1_n=73 < 200
ARROW,マイジャグラーV,hit104,2026-04-01..2026-06-29,3310,0.01965718849023554,0.07381172209830535,5.0,2026-01-01..2026-03-31,3580,0.012542080200022572,0.07465048444952525,25.0,31,0.044898399705167256,0.810460820012793,False,False,
ARROW,マイジャグラーV,plus,2026-04-01..2026-06-29,3310,0.3630135533596876,0.025121557706812805,5.0,2026-01-01..2026-03-31,3580,0.11770552048586215,0.051137347805032776,25.0,31,0.08896079274946633,0.6341429809425775,False,False,
ARROW,マギアレコード 魔法少女まどか☆マギカ外伝,hit104,2026-03-30..2026-06-27,286,0.49851497049634774,0.0,29.0,2025-12-30..2026-03-29,430,0.7613544772516003,0.0,11.0,31,-0.04303928381190857,0.8181761608414655,False,False,
ARROW,マギアレコード 魔法少女まどか☆マギカ外伝,plus,2026-03-30..2026-06-27,286,0.5921681629265945,0.0,29.0,2025-12-30..2026-03-29,430,0.8478593290520254,0.0,29.0,31,0.3447949359960832,0.05749055562574179,False,False,
ARROW,ミスタージャグラー,hit104,2026-04-01..2026-06-29,,,,,2026-01-01..2026-03-31,,,,,,,,False,False,skip: window0_n=83 < 200; window1_n=90 < 200
ARROW,ミスタージャグラー,plus,2026-04-01..2026-06-29,,,,,2026-01-01..2026-03-31,,,,,,,,False,False,skip: window0_n=83 < 200; window1_n=90 < 200
ARROW,ミリオンゴッド‐神々の軌跡‐,hit104,2026-05-20..2026-06-29,,,,,empty,,,,,,,,False,False,skip: window1_n=0 < 200
ARROW,ミリオンゴッド‐神々の軌跡‐,plus,2026-05-20..2026-06-29,,,,,empty,,,,,,,,False,False,skip: window1_n=0 < 200
